GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JacocoExample,com.bt.codecoverage,CodeCoverageCheck,0,39,0,6,0,10,0,6,0,3
JacocoExample,com.bt.codecoverage,GitHubFile2,3,0,0,0,1,0,1,0,1,0
